City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Ust-Tsilma,RU,65.441,52.1498,35.13,99,100,7.99,overcast clouds
142,Lensk,RU,60.7253,114.9278,24.96,95,40,4.56,scattered clouds
143,Hithadhoo,MV,-0.6,73.0833,79.68,88,100,23.15,moderate rain
144,Wenling,CN,28.3669,121.36,65.48,99,100,6.55,light rain
145,Kodiak,US,57.79,-152.4072,38.71,81,100,10.36,light rain
146,Sharlyk,RU,52.9167,54.75,59.36,41,100,10.76,overcast clouds
147,Nikolskoye,RU,59.7035,30.7861,42.69,74,31,5.03,scattered clouds
148,Olavarria,AR,-36.8927,-60.3225,64.74,23,0,7.58,clear sky
149,Moron,AR,-34.6534,-58.6198,65.93,59,0,5.88,clear sky
150,Kalevala,RU,65.2,31.1667,25.86,92,24,8.79,few clouds
151,Coahuayana,MX,18.7333,-103.6833,93.54,33,48,8.41,scattered clouds
152,Qaqortoq,GL,60.7167,-46.0333,36.5,68,82,2.01,broken clouds
153,Bengkulu,ID,-3.8004,102.2655,77.83,88,100,3.62,overcast clouds
154,Marzuq,YE,14.4,46.4667,77.76,63,98,5.1,overcast clouds
155,Broken Hill,AU,-31.95,141.4333,47.5,72,4,8.19,clear sky
156,Skibotn,NO,69.3913,20.2679,24.13,94,99,6.58,overcast clouds
157,Saint George,US,37.1041,-113.5841,78.44,22,20,14.97,few clouds
158,Manutuke,NZ,-38.6833,177.9167,60.15,89,90,4.29,overcast clouds
159,La Salle,US,41.3334,-89.0918,63.82,29,0,7.0,clear sky
160,Oyama,JP,36.3,139.8,51.35,62,0,3.24,clear sky
161,Bubaque,GW,11.2833,-15.8333,79.25,79,12,17.74,few clouds
162,San Vicente,AR,-26.6167,-54.1333,64.85,99,100,2.59,light rain
163,Inuvik,CA,68.3499,-133.7218,32.05,99,100,9.57,overcast clouds
164,Saldanha,ZA,-33.0117,17.9442,60.17,84,17,14.97,few clouds
