City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Omboue,GA,79.09,overcast clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
596,Lalibela,ET,62.85,light rain,12.0333,39.0333,Mountain View Hotel
597,Hanna,CA,78.85,scattered clouds,51.6334,-111.9018,Travelodge
598,Paidha,UG,61.7,overcast clouds,2.4167,30.9855,Jennifer
599,Guerrero Negro,MX,64.29,overcast clouds,27.9769,-114.0611,Plaza sal paraiso
603,Kashi,CN,70.81,clear sky,39.4547,75.9797,深航国际酒店
604,Mahanoro,MG,72.77,overcast clouds,-19.9,48.8,Vanilla Bungalow
607,Hasaki,JP,56.21,clear sky,35.7333,140.8333,大新旅館
621,Jasper,US,73.99,few clouds,37.2001,-94.3502,Econo Lodge
624,Ilhabela,BR,74.77,few clouds,-23.7781,-45.3581,Vila Kebaya
626,Daru,PG,79.14,scattered clouds,-9.0763,143.2092,Kuki
627,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,Hotel valencia
628,Agadir,MA,68.45,broken clouds,30.4202,-9.5982,Atlantic
639,Tshikapa,CD,71.35,moderate rain,-6.4167,20.8,Hôtel TSHAMUNTU
640,Samfya,ZM,61.39,clear sky,-11.3649,29.5565,Twemu Guest house
642,Miri,MY,78.94,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
643,Florianopolis,BR,75.56,broken clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
644,Alghero,IT,60.89,clear sky,40.5589,8.3181,Catalunya
646,Shushtar,IR,79.56,clear sky,32.0455,48.8567,هتل سنتی سرابی شوشتر
647,Podgornoye,RU,55.62,clear sky,51.735,39.1496,Норд
652,Matara,LK,79.52,overcast clouds,5.9485,80.5353,Villa Palm Breeze
653,Jingdezhen,CN,70.7,overcast clouds,29.2947,117.2079,文苑商务大酒店
654,Ukiah,US,62.49,overcast clouds,39.1502,-123.2078,Palace Hotel
657,Shingu,JP,58.33,overcast clouds,33.7333,135.9833,ホテルニューパレス
659,Minot,US,77.02,clear sky,48.2325,-101.2963,Hampton Inn & Suites
662,Basco,PH,79.63,clear sky,20.4487,121.9702,Tawsen Hotel
666,Healdsburg,US,64.02,overcast clouds,38.6105,-122.8692,Healdsburg Inn
668,Muscat,OM,78.82,clear sky,23.6139,58.5922,البطاشي
